名称,数值类型,描述,类别,时间戳精度
"[V4_DPU2011_HW_AI010201_PV]",FLOAT64,8#炉主给水调门开度,"base,scan",0
"[V4_DPU2011_HW_AI010202_PV]",FLOAT64,8#炉Ⅰ级减温水调门开度,"base,scan",0
"[V4_DPU2011_HW_AI010203_PV]",FLOAT64,8#炉连排左调门门开度,"base,scan",0
"[V4_DPU2011_HW_AI010204_PV]",FLOAT64,8#炉给水流量,"base,scan",0
"[V4_DPU2011_HW_AI010205_PV]",FLOAT64,8#炉给水压力,"base,scan",0
"[V4_DPU2011_HW_AI010206_PV]",FLOAT64,8#炉SGH进汽调门开度,"base,scan",0
"[V4_DPU2011_HW_AI010207_PV]",FLOAT64,8#炉给水三通调门开度,"base,scan",0
"[V4_DPU2011_HW_AI010208_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI010301_PV]",FLOAT64,8#炉Ⅰ级减温水流量,"base,scan",0
"[V4_DPU2011_HW_AI010302_PV]",FLOAT64,8#炉汽包压力A,"base,scan",0
"[V4_DPU2011_HW_AI010303_PV]",FLOAT64,8#炉汽包水位左,"base,scan",0
"[V4_DPU2011_HW_AI010304_PV]",FLOAT64,8#炉汽包电接点水位左,"base,scan",0
"[V4_DPU2011_HW_AI010305_PV]",FLOAT64,8#炉Ⅰ级减温水调门后压力,"base,scan",0
"[V4_DPU2011_HW_AI010306_PV]",FLOAT64,8#炉过热器集箱压力A,"base,scan",0
"[V4_DPU2011_HW_AI010307_PV]",FLOAT64,8#炉SGH进汽压力,"base,scan",0
"[V4_DPU2011_HW_AI010308_PV]",FLOAT64,8#炉蒸汽吹灰母管流量,"base,scan",0
"[V4_DPU2011_HW_AI020201_PV]",FLOAT64,8#炉给水旁路调门开度,"base,scan",0
"[V4_DPU2011_HW_AI020202_PV]",FLOAT64,8#炉Ⅱ级减温水调门开度,"base,scan",0
"[V4_DPU2011_HW_AI020203_PV]",FLOAT64,8#炉连排右调门调节,"base,scan",0
"[V4_DPU2011_HW_AI020204_PV]",FLOAT64,8#炉给水调门后压力,"base,scan",0
"[V4_DPU2011_HW_AI020205_PV]",FLOAT64,8#炉省煤器出口压力,"base,scan",0
"[V4_DPU2011_HW_AI020206_PV]",FLOAT64,8#炉蒸汽吹灰减压调开度,"base,scan",0
"[V4_DPU2011_HW_AI020207_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI020208_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI020301_PV]",FLOAT64,8#炉Ⅱ级减温水流量,"base,scan",0
"[V4_DPU2011_HW_AI020302_PV]",FLOAT64,8#炉汽包压力B,"base,scan",0
"[V4_DPU2011_HW_AI020303_PV]",FLOAT64,8#炉汽包水位中,"base,scan",0
"[V4_DPU2011_HW_AI020304_PV]",FLOAT64,8#炉汽包电接点水位右,"base,scan",0
"[V4_DPU2011_HW_AI020305_PV]",FLOAT64,8#炉Ⅱ级减温水调门后压力,"base,scan",0
"[V4_DPU2011_HW_AI020306_PV]",FLOAT64,8#炉过热器集箱压力B,"base,scan",0
"[V4_DPU2011_HW_AI020307_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI020308_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI030101_PV]",FLOAT64,8#炉主蒸汽流量,"base,scan",0
"[V4_DPU2011_HW_AI030102_PV]",FLOAT64,8#炉主蒸汽压力,"base,scan",0
"[V4_DPU2011_HW_AI030103_PV]",FLOAT64,8#炉汽包水位右,"base,scan",0
"[V4_DPU2011_HW_AI030104_PV]",FLOAT64,8#炉1#蒸汽吹灰器MCC柜电流,"base,scan",0
"[V4_DPU2011_HW_AI030105_PV]",FLOAT64,8#炉2#蒸汽吹灰器MCC柜电流,"base,scan",0
"[V4_DPU2011_HW_AI030106_PV]",FLOAT64,8#炉蒸汽吹灰蒸汽母管压力,"base,scan",0
"[V4_DPU2011_HW_AI030107_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AI030108_PV]",FLOAT64,备用AI-KM231A,"base,scan",0
"[V4_DPU2011_HW_AQ010101_PV]",FLOAT64,8#炉主给水调门调节,"base,scan",0
"[V4_DPU2011_HW_DI010401_PV]",BOOL,8#炉给水电动远方,"base,scan",0
"[V4_DPU2011_HW_DI010402_PV]",BOOL,8#炉给水电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI010403_PV]",BOOL,8#炉给水电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI010404_PV]",BOOL,8#炉给水电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI010405_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010406_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010407_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010408_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010409_PV]",BOOL,8#炉向空排汽电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI010410_PV]",BOOL,8#炉向空排汽电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI010411_PV]",BOOL,8#炉向空排汽电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI010412_PV]",BOOL,8#炉向空排汽电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI010413_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010414_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010501_PV]",BOOL,8#炉吹灰主汽阀远方,"base,scan",0
"[V4_DPU2011_HW_DI010502_PV]",BOOL,8#炉吹灰主汽阀已开,"base,scan",0
"[V4_DPU2011_HW_DI010503_PV]",BOOL,8#炉吹灰主汽阀已关,"base,scan",0
"[V4_DPU2011_HW_DI010504_PV]",BOOL,8#炉吹灰主汽阀故障,"base,scan",0
"[V4_DPU2011_HW_DI010505_PV]",BOOL,8#炉主汽2电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI010506_PV]",BOOL,8#炉主汽2电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI010507_PV]",BOOL,8#炉主汽2电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI010508_PV]",BOOL,8#炉主汽2电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI010509_PV]",BOOL,8#炉水冷壁下集箱排污电动阀1远方,"base,scan",0
"[V4_DPU2011_HW_DI010510_PV]",BOOL,8#炉水冷壁下集箱排污电动阀1已开,"base,scan",0
"[V4_DPU2011_HW_DI010511_PV]",BOOL,8#炉水冷壁下集箱排污电动阀1已关,"base,scan",0
"[V4_DPU2011_HW_DI010512_PV]",BOOL,8#炉水冷壁下集箱排污电动阀1故障,"base,scan",0
"[V4_DPU2011_HW_DI010513_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010514_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010515_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI010516_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020401_PV]",BOOL,8#炉省煤器再循环电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI020402_PV]",BOOL,8#炉省煤器再循环电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI020403_PV]",BOOL,8#炉省煤器再循环电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI020404_PV]",BOOL,8#炉省煤器再循环电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI020405_PV]",BOOL,8#炉空预器进汽电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI020406_PV]",BOOL,8#炉空预器进汽电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI020407_PV]",BOOL,8#炉空预器进汽电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI020408_PV]",BOOL,8#炉空预器进汽电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI020409_PV]",BOOL,8#炉主汽1旁路电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI020410_PV]",BOOL,8#炉主汽1旁路电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI020411_PV]",BOOL,8#炉主汽1旁路电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI020412_PV]",BOOL,8#炉主汽1旁路电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI020413_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020414_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020501_PV]",BOOL,8#炉主汽1远方,"base,scan",0
"[V4_DPU2011_HW_DI020502_PV]",BOOL,8#炉主汽1已开,"base,scan",0
"[V4_DPU2011_HW_DI020503_PV]",BOOL,8#炉主汽1已关,"base,scan",0
"[V4_DPU2011_HW_DI020504_PV]",BOOL,8#炉主汽1故障,"base,scan",0
"[V4_DPU2011_HW_DI020505_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020506_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020507_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020508_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020509_PV]",BOOL,8#炉水冷壁下集箱排污电动阀2远方,"base,scan",0
"[V4_DPU2011_HW_DI020510_PV]",BOOL,8#炉水冷壁下集箱排污电动阀2已开,"base,scan",0
"[V4_DPU2011_HW_DI020511_PV]",BOOL,8#炉水冷壁下集箱排污电动阀2已关,"base,scan",0
"[V4_DPU2011_HW_DI020512_PV]",BOOL,8#炉水冷壁下集箱排污电动阀2故障,"base,scan",0
"[V4_DPU2011_HW_DI020513_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020514_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020515_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI020516_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030401_PV]",BOOL,8#炉事故放水电动门远方,"base,scan",0
"[V4_DPU2011_HW_DI030402_PV]",BOOL,8#炉事故放水电动门已开,"base,scan",0
"[V4_DPU2011_HW_DI030403_PV]",BOOL,8#炉事故放水电动门已关,"base,scan",0
"[V4_DPU2011_HW_DI030404_PV]",BOOL,8#炉事故放水电动门故障,"base,scan",0
"[V4_DPU2011_HW_DI030405_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030406_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030407_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030408_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030409_PV]",BOOL,8#炉水冷壁下集箱排污电动阀3远方,"base,scan",0
"[V4_DPU2011_HW_DI030410_PV]",BOOL,8#炉水冷壁下集箱排污电动阀3已开,"base,scan",0
"[V4_DPU2011_HW_DI030411_PV]",BOOL,8#炉水冷壁下集箱排污电动阀3已关,"base,scan",0
"[V4_DPU2011_HW_DI030412_PV]",BOOL,8#炉水冷壁下集箱排污电动阀3故障,"base,scan",0
"[V4_DPU2011_HW_DI030413_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030414_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030416_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030501_PV]",BOOL,8#炉水冷壁下集箱排污电动阀4远方,"base,scan",0
"[V4_DPU2011_HW_DI030502_PV]",BOOL,8#炉水冷壁下集箱排污电动阀4已开,"base,scan",0
"[V4_DPU2011_HW_DI030503_PV]",BOOL,8#炉水冷壁下集箱排污电动阀4已关,"base,scan",0
"[V4_DPU2011_HW_DI030504_PV]",BOOL,8#炉水冷壁下集箱排污电动阀4故障,"base,scan",0
"[V4_DPU2011_HW_DI030505_PV]",BOOL,8#炉水冷壁下集箱排污电动阀5远方,"base,scan",0
"[V4_DPU2011_HW_DI030506_PV]",BOOL,8#炉水冷壁下集箱排污电动阀5已开,"base,scan",0
"[V4_DPU2011_HW_DI030507_PV]",BOOL,8#炉水冷壁下集箱排污电动阀5已关,"base,scan",0
"[V4_DPU2011_HW_DI030508_PV]",BOOL,8#炉水冷壁下集箱排污电动阀5故障,"base,scan",0
"[V4_DPU2011_HW_DI030509_PV]",BOOL,8#炉水冷壁下集箱排污电动阀6远方,"base,scan",0
"[V4_DPU2011_HW_DI030510_PV]",BOOL,8#炉水冷壁下集箱排污电动阀6已开,"base,scan",0
"[V4_DPU2011_HW_DI030511_PV]",BOOL,8#炉水冷壁下集箱排污电动阀6已关,"base,scan",0
"[V4_DPU2011_HW_DI030512_PV]",BOOL,8#炉水冷壁下集箱排污电动阀6故障,"base,scan",0
"[V4_DPU2011_HW_DI030513_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030514_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030515_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI030516_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040301_PV]",BOOL,8#炉水冷壁下集箱排污电动阀7远方,"base,scan",0
"[V4_DPU2011_HW_DI040302_PV]",BOOL,8#炉水冷壁下集箱排污电动阀7已开,"base,scan",0
"[V4_DPU2011_HW_DI040303_PV]",BOOL,8#炉水冷壁下集箱排污电动阀7已关,"base,scan",0
"[V4_DPU2011_HW_DI040304_PV]",BOOL,8#炉水冷壁下集箱排污电动阀7故障,"base,scan",0
"[V4_DPU2011_HW_DI040305_PV]",BOOL,8#炉水冷壁下集箱排污电动阀8远方,"base,scan",0
"[V4_DPU2011_HW_DI040306_PV]",BOOL,8#炉水冷壁下集箱排污电动阀8已开,"base,scan",0
"[V4_DPU2011_HW_DI040307_PV]",BOOL,8#炉水冷壁下集箱排污电动阀8已关,"base,scan",0
"[V4_DPU2011_HW_DI040308_PV]",BOOL,8#炉水冷壁下集箱排污电动阀8故障,"base,scan",0
"[V4_DPU2011_HW_DI040309_PV]",BOOL,8#炉水冷壁下集箱排污电动阀9远方,"base,scan",0
"[V4_DPU2011_HW_DI040310_PV]",BOOL,8#炉水冷壁下集箱排污电动阀9已开,"base,scan",0
"[V4_DPU2011_HW_DI040311_PV]",BOOL,8#炉水冷壁下集箱排污电动阀9已关,"base,scan",0
"[V4_DPU2011_HW_DI040312_PV]",BOOL,8#炉水冷壁下集箱排污电动阀9故障,"base,scan",0
"[V4_DPU2011_HW_DI040313_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040314_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040315_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040316_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040401_PV]",BOOL,8#炉水冷壁下集箱排污电动阀10远方,"base,scan",0
"[V4_DPU2011_HW_DI040402_PV]",BOOL,8#炉水冷壁下集箱排污电动阀10已开,"base,scan",0
"[V4_DPU2011_HW_DI040403_PV]",BOOL,8#炉水冷壁下集箱排污电动阀10已关,"base,scan",0
"[V4_DPU2011_HW_DI040404_PV]",BOOL,8#炉水冷壁下集箱排污电动阀10故障,"base,scan",0
"[V4_DPU2011_HW_DI040405_PV]",BOOL,8#炉水冷壁下集箱排污电动阀11远方,"base,scan",0
"[V4_DPU2011_HW_DI040406_PV]",BOOL,8#炉水冷壁下集箱排污电动阀11已开,"base,scan",0
"[V4_DPU2011_HW_DI040407_PV]",BOOL,8#炉水冷壁下集箱排污电动阀11已关,"base,scan",0
"[V4_DPU2011_HW_DI040408_PV]",BOOL,8#炉水冷壁下集箱排污电动阀11故障,"base,scan",0
"[V4_DPU2011_HW_DI040409_PV]",BOOL,8#炉水冷壁下集箱排污电动阀12远方,"base,scan",0
"[V4_DPU2011_HW_DI040410_PV]",BOOL,8#炉水冷壁下集箱排污电动阀12已开,"base,scan",0
"[V4_DPU2011_HW_DI040411_PV]",BOOL,8#炉水冷壁下集箱排污电动阀12已关,"base,scan",0
"[V4_DPU2011_HW_DI040412_PV]",BOOL,8#炉水冷壁下集箱排污电动阀12故障,"base,scan",0
"[V4_DPU2011_HW_DI040413_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040414_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040415_PV]",BOOL,备用DI-KM234A,"base,scan",0
"[V4_DPU2011_HW_DI040416_PV]",BOOL,8#炉BL1机柜失电报警,"base,scan",0
